pVal,AvgBiomass,AvgLongev
0.01,0.2257085382,5000
0.02,0.2468150621,5000
0.03,0.2595023728,5000
0.04,0.2655148906,5000
0.05,0.2667884342,5000
0.06,0.2653839885,5000
0.07,0.2622690954,5000
0.08,0.2586860109,5000
0.09,0.2550799277,5000
0.1,0.2517422118,5000
0.11,0.248788271,5000
0.12,0.2462669248,5000
0.13,0.2441002486,5000
0.14,0.2424197101,5000
0.15,0.2411174986,5000
0.16,0.240084465,5000
0.17,0.2394470323,5000
0.18,0.239021201,5000
0.19,0.2389331578,5000
0.2,0.2390349827,5000
0.21,0.239358759,5000
0.22,0.2398807152,5000
0.23,0.2405704554,5000
0.24,0.2413823648,5000
0.25,0.2423536861,5000
0.26,0.2434022397,5000
0.27,0.2445864128,5000
0.28,0.2458255962,5000
0.29,0.2471605021,5000
0.3,0.2485460266,5000
0.31,0.2500167661,5000
0.32,0.2514958867,5000
0.33,0.2530247821,5000
0.34,0.2545761088,5000
0.35,0.2561741472,5000
0.36,0.257767312,5000
0.37,0.2593983914,5000
0.38,0.2610437222,5000
0.39,0.2626761232,5000
0.4,0.2643494454,5000
0.41,0.2659765411,5000
0.42,0.2676482336,5000
0.43,0.2693034637,5000
0.44,0.2709481283,5000
0.45,0.272590121,5000
0.46,0.2742228512,5000
0.47,0.2758662074,5000
0.48,0.2774927709,5000
0.49,0.2790507606,5000
0.5,0.2806635702,5000
0.51,0.2822223811,5000
0.52,0.2837995165,5000
0.53,0.2853606118,5000
0.54,0.2868699072,5000
0.55,0.2883829066,5000
0.56,0.2898549021,5000
0.57,0.291344616,5000
0.58,0.2928103955,5000
0.59,0.2942691744,5000
0.6,0.2956421043,5000
0.61,0.2970483539,5000
0.62,0.2984189805,5000
0.63,0.299819321,5000
0.64,0.301145168,5000
0.65,0.3024736224,5000
0.66,0.3037639181,5000
0.67,0.3050741523,5000
0.68,0.3063081181,5000
0.69,0.3075392365,5000
0.7,0.3088143744,5000
0.71,0.3100451299,5000
0.72,0.3111613504,5000
0.73,0.3123017987,5000
0.74,0.3134707744,5000
0.75,0.3145297424,5000
0.76,0.3157226163,5000
0.77,0.3167886394,5000
0.78,0.3178467635,5000
0.79,0.3189193584,5000
0.8,0.3199505597,5000
0.81,0.3209517446,5000
0.82,0.3219240314,5000
0.83,0.322910711,5000
0.84,0.3238828291,5000
0.85,0.3248263171,5000
0.86,0.3257223776,5000
0.87,0.3266692998,5000
0.88,0.3275437859,5000
0.89,0.3284185936,5000
0.9,0.3292943818,5000
0.91,0.3300948003,5000
0.92,0.3309536323,5000
0.93,0.331723223,5000
0.94,0.3326171766,5000
0.95,0.3333682125,5000
0.96,0.3341485581,5000
0.97,0.3349029059,5000
0.98,0.3357632653,5000
0.99,0.3372769571,5000
1,0.7769912278,5000
