pVal,AverageB,AverageL,B1,L1,B2,L2,B3,L3,B4,L4,B5,L5,B6,L6,B7,L7,B8,L8,B9,L9,B10,L10
0.01,0.2257085382,5000,0.2256318368,5000,0.225808272,5000,0.2256768224,5000,0.2257036416,5000,0.2255843104,5000,0.2259539296,5000,0.2258783584,5000,0.2256016032,5000,0.2256179264,5000,0.2256286816,5000
0.02,0.2468150621,5000,0.2471380192,5000,0.2466789024,5000,0.2466501344,5000,0.2467727808,5000,0.2466349664,5000,0.2468476224,5000,0.2468040224,5000,0.2469437696,5000,0.2467383424,5000,0.2469420608,5000
0.03,0.2595023728,5000,0.2595336704,5000,0.2597196768,5000,0.2592534912,5000,0.259161904,5000,0.2597916384,5000,0.2593305824,5000,0.2597934208,5000,0.2595539456,5000,0.2598939072,5000,0.2589914912,5000
0.04,0.2655148906,5000,0.2657052864,5000,0.2652931584,5000,0.2657050848,5000,0.2651458528,5000,0.2653826976,5000,0.2656649312,5000,0.2654961408,5000,0.2654993472,5000,0.2656734304,5000,0.265582976,5000
0.05,0.2667884342,5000,0.2667025056,5000,0.2668521312,5000,0.2671227104,5000,0.2664091744,5000,0.2668570976,5000,0.2669471584,5000,0.2666386432,5000,0.266865328,5000,0.2665030016,5000,0.266986592,5000
0.06,0.2653839885,5000,0.265131104,5000,0.2654575136,5000,0.2654740096,5000,0.2657122208,5000,0.2655645856,5000,0.2651740416,5000,0.2650932,5000,0.2655180224,5000,0.265629248,5000,0.2650859392,5000
0.07,0.2622690954,5000,0.262315472,5000,0.2623587648,5000,0.2623650464,5000,0.262064288,5000,0.2622901216,5000,0.262260928,5000,0.2621712416,5000,0.2623369696,5000,0.262347264,5000,0.2621808576,5000
0.08,0.2586860109,5000,0.2586418752,5000,0.258490336,5000,0.2586014912,5000,0.2588579904,5000,0.2588341088,5000,0.2586848608,5000,0.2588035392,5000,0.258654864,5000,0.2586376192,5000,0.258653424,5000
0.09,0.2550799277,5000,0.2549403008,5000,0.2550379424,5000,0.2552536576,5000,0.255083936,5000,0.255084864,5000,0.2549308416,5000,0.2550458816,5000,0.2550303104,5000,0.2553640736,5000,0.2550274688,5000
0.1,0.2517422118,5000,0.2517157792,5000,0.2517121344,5000,0.2516369312,5000,0.2517546688,5000,0.2519276032,5000,0.2518198976,5000,0.2516716352,5000,0.2517913344,5000,0.2516801632,5000,0.2517119712,5000
0.11,0.248788271,5000,0.2488671584,5000,0.2487631744,5000,0.2486899168,5000,0.2488813216,5000,0.248666656,5000,0.2488220672,5000,0.248698448,5000,0.2488149824,5000,0.2488480544,5000,0.2488309312,5000
0.12,0.2462669248,5000,0.2462217568,5000,0.2462436736,5000,0.2463037856,5000,0.2462441696,5000,0.2464292864,5000,0.2463434784,5000,0.246208208,5000,0.2462479616,5000,0.2462487744,5000,0.2461781536,5000
0.13,0.2441002486,5000,0.244149312,5000,0.2441513376,5000,0.2441621856,5000,0.2440827008,5000,0.2440049376,5000,0.2440179264,5000,0.2441879008,5000,0.243963056,5000,0.2440844352,5000,0.2441986944,5000
0.14,0.2424197101,5000,0.2425302592,5000,0.2424360128,5000,0.2424241728,5000,0.2424376448,5000,0.2425229696,5000,0.242372784,5000,0.2424019008,5000,0.2423945888,5000,0.2423592256,5000,0.2423175424,5000
0.15,0.2411174986,5000,0.2411920704,5000,0.241151696,5000,0.2410433248,5000,0.2410390912,5000,0.2411559872,5000,0.2410669216,5000,0.2411888672,5000,0.2410429952,5000,0.2411387328,5000,0.2411552992,5000
0.16,0.240084465,5000,0.2402058272,5000,0.2401117024,5000,0.2400909088,5000,0.2399662976,5000,0.2400948736,5000,0.2401529152,5000,0.2400313664,5000,0.2401262368,5000,0.2400218368,5000,0.2400426848,5000
0.17,0.2394470323,5000,0.2394990048,5000,0.2395133088,5000,0.2394171232,5000,0.239461712,5000,0.239433744,5000,0.2394898528,5000,0.2393654496,5000,0.239339712,5000,0.2395042304,5000,0.2394461856,5000
0.18,0.239021201,5000,0.2390299872,5000,0.2389699456,5000,0.2389656992,5000,0.2390998464,5000,0.2390625344,5000,0.2389960288,5000,0.2389730368,5000,0.239030896,5000,0.2390231328,5000,0.2390609024,5000
0.19,0.2389331578,5000,0.2388997952,5000,0.2388711392,5000,0.238901264,5000,0.2389154048,5000,0.2390113696,5000,0.2389237632,5000,0.2389987328,5000,0.2388742688,5000,0.2389914304,5000,0.2389444096,5000
0.2,0.2390349827,5000,0.2390765824,5000,0.238962512,5000,0.2389994176,5000,0.2391044192,5000,0.2389683392,5000,0.2390517856,5000,0.2390520384,5000,0.239043616,5000,0.2390292288,5000,0.239061888,5000
0.21,0.239358759,5000,0.2394302496,5000,0.2393027136,5000,0.2393427168,5000,0.2393598624,5000,0.2394224992,5000,0.2394148192,5000,0.2393164864,5000,0.23932808,5000,0.2392883328,5000,0.2393818304,5000
