pVal, biomass, longevity, fitness, top_pval, top_fitness, pVal_Two, biomass_Two, longevity_Two, top_Fitness_Two, top_Pval_Two
0.0, 0.26046920959999986, 5000.0, 1302.3460479999992, 0.7, 1302.34604799999920.0, 0.06695963519999995, 5000.0, 334.7981759999997, 0.6, 334.7981759999997
0.68, 0.2563626560000003, 5000.0, 1281.8132800000014, 0.7, 1302.34604799999920.58, 0.06995275839999995, 5000.0, 349.7637919999998, 0.58, 349.7637919999998
0.75, 0.2736671615999998, 5000.0, 1368.3358079999991, 0.75, 1368.33580799999910.61, 0.055626691200000015, 5000.0, 278.1334560000001, 0.58, 349.7637919999998
0.77, 0.2785952608000008, 5000.0, 1392.976304000004, 0.77, 1392.9763040000040.62, 0.05161392640000006, 5000.0, 258.0696320000003, 0.58, 349.7637919999998
0.81, 0.28894033920000084, 5000.0, 1444.7016960000042, 0.81, 1444.70169600000420.63, 0.04268104960000007, 5000.0, 213.40524800000034, 0.58, 349.7637919999998
0.79, 0.28810128640000043, 5000.0, 1440.5064320000022, 0.81, 1444.70169600000420.54, 0.04138173120000005, 5000.0, 206.90865600000024, 0.58, 349.7637919999998
0.78, 0.2845018496000004, 5000.0, 1422.5092480000021, 0.81, 1444.70169600000420.56, 0.04495327679999998, 5000.0, 224.7663839999999, 0.58, 349.7637919999998
0.8, 0.2884732063999995, 5000.0, 1442.3660319999976, 0.81, 1444.70169600000420.59, 0.042537795200000166, 5000.0, 212.68897600000082, 0.58, 349.7637919999998
0.86, 0.3134437248000004, 5000.0, 1567.218624000002, 0.86, 1567.2186240000020.32, 0.016331136000000007, 5000.0, 81.65568000000003, 0.58, 349.7637919999998
0.9, 0.31439257919999997, 5000.0, 1571.9628959999998, 0.9, 1571.96289599999980.55, 0.019220275199999987, 5000.0, 96.10137599999993, 0.58, 349.7637919999998
0.89, 0.30713868800000027, 5000.0, 1535.6934400000014, 0.9, 1571.96289599999980.74, 0.028086688000000002, 5000.0, 140.43344000000002, 0.58, 349.7637919999998
0.91, 0.31007543999999987, 5000.0, 1550.3771999999994, 0.9, 1571.96289599999980.89, 0.027277327999999892, 5000.0, 136.38663999999946, 0.58, 349.7637919999998
0.87, 0.31888181119999964, 5000.0, 1594.4090559999981, 0.87, 1594.40905599999810.22, 0.010473289599999991, 5000.0, 52.366447999999956, 0.58, 349.7637919999998
0.88, 0.3263099999999996, 5000.0, 1631.549999999998, 0.88, 1631.5499999999980.03, 0.0013357183999999956, 5000.0, 6.678591999999978, 0.58, 349.7637919999998
0.85, 0.2978498719999995, 5000.0, 1489.2493599999975, 0.88, 1631.5499999999980.68, 0.03573333120000001, 5000.0, 178.66665600000005, 0.58, 349.7637919999998
0.74, 0.2816519871999985, 5000.0, 1408.2599359999926, 0.88, 1631.5499999999980.44, 0.04354447679999998, 5000.0, 217.72238399999992, 0.58, 349.7637919999998
0.92, 0.31388238400000007, 5000.0, 1569.4119200000002, 0.88, 1631.5499999999980.86, 0.02347272640000003, 5000.0, 117.36363200000014, 0.58, 349.7637919999998
0.93, 0.32776240000000023, 5000.0, 1638.8120000000013, 0.93, 1638.81200000000130.19, 0.004691219199999997, 5000.0, 23.456095999999988, 0.58, 349.7637919999998
0.98, 0.3337581216000016, 5000.0, 1668.7906080000082, 0.98, 1668.79060800000820.51, 0.003471500800000009, 5000.0, 17.357504000000045, 0.58, 349.7637919999998
0.99, 0.3363310880000013, 5000.0, 1681.6554400000064, 0.99, 1681.65544000000640.39, 0.0013269472000000018, 5000.0, 6.634736000000009, 0.58, 349.7637919999998
0.96, 0.3336415871999991, 5000.0, 1668.2079359999955, 0.99, 1681.65544000000640.04, 5.55792000000016E-4, 5000.0, 2.77896000000008, 0.58, 349.7637919999998
0.97, 0.33074787199999994, 5000.0, 1653.7393599999998, 0.99, 1681.65544000000640.66, 0.006755827199999993, 5000.0, 33.779135999999966, 0.58, 349.7637919999998
1.0, 0.7770852224000022, 5000.0, 3885.426112000011, 1.0, 3885.4261120000110.52, 0.0, 1.0, 0.0, 0.58, 349.7637919999998
0.76, 0.31196179840000116, 5000.0, 1559.8089920000057, 1.0, 3885.4261120000110.05, 0.004918720000000003, 5000.0, 24.593600000000016, 0.58, 349.7637919999998
