(0.5 prob tree) firefighters, biomass, longevity ,
0,0.777419258,5000,3887.096288
50,0.345818909,5000,1729.094544
100,0.998801926,5000,4994.009632
150,0.998802589,5000,4994.012944
200,0.998799466,5000,4993.997328
250,0.99879593,5000,4993.979648
300,0.9988028,5000,4994.014
350,0.998802557,5000,4994.012784
400,0.998802221,5000,4994.011104
450,0.998801891,5000,4994.009456
500,0.998800102,5000,4994.000512
550,0.998800122,5000,4994.000608
600,0.998802883,5000,4994.014416
650,0.998800723,5000,4994.003616
700,0.998802474,5000,4994.012368
750,0.998802784,5000,4994.01392
800,0.998799286,5000,4993.996432
850,0.998800778,5000,4994.003888
900,0.998801043,5000,4994.005216
950,0.99880503,5000,4994.025152
1000,0.998800483,5000,4994.002416
